stop_id,stop_name,type,location,in_lines,identifier,stop_description
1964204,Buckower Friedhof,bus,"52.42151537347778, 13.43036950960343",A52,,Buckower Friedhof
1964205,Bundesallee Ecke Badenische Strasse,bus,"52.48613795045858, 13.33110029774997",A4,,
1964206,Bundesallee Ecke Berliner Strasse,bus,"52.487321004799746, 13.331012834110986","A89, A74, A85",,
1964207,Bundesallee Ecke Rheinstrasse,bus,"52.46493423553767, 13.328438507021911","A84,A48,A17",,
1964208,Bundesallee Ecke Tratenaustrasse,bus,"52.49318663087416, 13.330848427020651",A50,,
1964209,Bundesplatz,bus,"52.478678991134835, 13.32860278411238","A2,AS2s,A25,A16,A81,A86,A65",,Bundesplatz
1964210,Bundesplatz,bus,"52.47869393029977, 13.328448766668432",A85,,
1964211,Burgemeister Strasse Ecke Tempelhofer Damm,bus,"52.4570129343595, 13.383915410725029","A76,A77",,
1964212,Burgemeisterstrasse Ecke Tempelhofer Damm,bus,"52.457032547412204, 13.38394759723302",A78,,
1964213,Buschallee Ecke Klement-Gottwald-Alle,bus,"52.55387831866095, 13.467451226079117",A46,,
1964214,Buschallee Ecke Klement-Gottwald-Allee,strassenbahn,"52.5537598,13.4691966",70,Q65546661,Buschallee
1964215,Buschkrug,strassenbahn,"52.452470895695484, 13.450748195174354",47,,Buschkrug
1964216,Buschkrug Alle Ecke Blaschko-Allee,bus,"52.452543995347135, 13.452160354904555",A73,,
1964217,"Bölschestrasse, Brauerei",strassenbahn,"52.44699265840037, 13.624251999339991","84,87",,
1964218,Bötzowbahn,bus,"52.560942294746425, 13.171763262130519",A63,,
1964219,Bühler Weg,bus,"52.41724643282917, 13.412638052235238",A52,,
1964220,Bülowstrasse Ecke Potsdamer Strasse,bus,"52.49785436286328, 13.362010881893301","A83, A19","nan, nan","nan, nan"
1964221,Bürgerwäldchen,strassenbahn,"52.4893741,13.6064139",83,Q66364551,
1964222,Bürknersfelde,bus,"52.549540493749184, 13.586689708671303",A43,,
1964223,Canovastrasse,bus,"52.46306323889937, 13.342852729949465",AS2s,,Canovastrasse Ecke Thorwaldsenstrasse
1964224,Carl-Schurz-Strasse Ecke Am Juliusturm,strassenbahn,"52.53954502335214, 13.205550832211756",55,,
1964225,Carl-Schurz-Strasse Ecke Neuendorfer Strasse,bus,"52.54010263102275, 13.203987462586664",A13,,
1964226,Carl-Schurz-Strasse Ecke Seegefelder Strasse,bus,"52.53512820008616, 13.199778539551522",A99,,
1964227,Cauerstrasse,bus,"52.51470519737728, 13.315222708879112",AS1s,,Cauerstrasse Ecke Otto-Suhr-Allee
1964228,Cauerstrasse Ecke Wilmersdorferstrasse,bus,"52.514688043406586, 13.31517213109502",A86,,
1964229,Charlottenburg,s-bahn,"52.504722222222,13.303333333333","KBS 100h,KBS 100g,KBS 100k",Q111326217,S-Bahnhof Berlin Charlottenburg
1964230,Charlottenstrasse,strassenbahn,"52.51050786460274, 13.391831492474326",72,,
1964231,Chausseestrasse,strassenbahn,"52.53061984499073, 13.383042789757935",82,,
1964232,Chemische Fabrik,strassenbahn,"52.42696432509712, 13.573540465650169",86,,Chemische Fabrik
1964233,Chemnitzer Ecke Ulmenstrasse,bus,"52.48730504728054, 13.5749460378103","A8,A8E",,Chemnitzer Ecke Ulmenstrasse
1964234,Chemnitzer Strasse Ecke Alt-Kaulsdorf,bus,"52.505156423214295, 13.58155740370254",A27,,
1964235,Clayallee Ecke Berliner Strasse,bus,"52.435061281531794, 13.260469051198768",A66,,
1964236,Clayallee Ecke Königin-Luise-Strasse,bus,"52.46044681153186, 13.274898269312029","A1,A68",,
1964237,Clayallee/Teltower Damm,bus,"52.4350547405869, 13.260361762838802",AS3s,,Clayallee/Teltower Damm
1964238,Colomierstrasse,bus,"52.42928675585897, 13.164090298875724",A51,,Colomierstrasse Ecke Am Großen Wannsee
1964239,Columbiadamm,bus,"52.48398171737193, 13.394418749054523",A4,,Columbiadamm Ecke Friesenstrasse
1964240,Columbiadamm Ecke Friesenstrasse,bus,"52.483967865507275, 13.39436897076973",A24,,
1964241,Corrensplatz,bus,"52.446014012041694, 13.284264679815902",A11,,Corrensplatz
1964242,Cyclopstrasse,bus,"52.60208376924525, 13.32483857919441","A12,A12S",,Cyclopstrasse & Hermsdorfer Strasse
1964243,Cyclopstrasse Ecke Oranienburger Strasse,bus,"52.59742743850453, 13.33252389138792",A15,,
1964244,Cyclopstrasse Ecke Waidmannsluster Damm,bus,"52.607017376341744, 13.319760309798667",A20,,
1964245,Dachdeckerweg Ecke Buckower Damm,bus,"52.43209035931259, 13.435151878364518",A91,,
1964246,Dahlem-Dorf,u-bahn,"52.456944444444,13.289444444444",A II,Q668585,Dahlem-Dorf
1964247,Dahlemer Weg,bus,"52.44179805042347, 13.282699371472702","A10,A53,A48",,Dahlemer Weg Ecke Berliner Strasse
1964248,Daimlerstrasse,bus,"52.42310029473227, 13.382719145401357",A77,,
1964249,Daimlerstrasse,strassenbahn,"52.423949959899865, 13.380145054879522",15,,Daimlerstrasse
1964250,Dammweg,bus,"52.47029082500845, 13.464688258814357",A67,,Dammweg Ecke Sonnenallee
1964251,Dammweg,strassenbahn,"52.47070358256429, 13.46392233215299",15,,Dammweg
1964252,Dammweg Ecke Sonnenallee,strassenbahn,"52.4702891791955, 13.464619670250386",95,,
1964253,Daumstrasse,bus,"52.540609965802126, 13.232264733228831",A13,,Daumstrasse
1964254,Degnerstrasse,strassenbahn,"52.54488036635163, 13.493949954029993","63,64",,Degnerstrasse
1964255,Demminer Strasse Ecke Brunnenstrasse,bus,"52.54113697481197, 13.393805198148023",A64,,
1964256,Detmolder Strasse Ecke Blissestrasse,bus,"52.47876002753526, 13.320303638716377",A1,,
1964257,Deutsche Oper (Bismarckstr.),u-bahn,"52.511944444444,13.310555555556","A I,A III",Q869501,nan+ nan
1964258,Deutschland Halle,bus,"52.497205479328066, 13.270893555260278",A88,,
1964259,Diepensee,bus,"52.300569220227956, 13.588920019126693",AD,,
1964260,Dimitroffstr.,u-bahn,"52.541666666667,13.412222222222",A,Q571382,Eberswalder Straße metro station
1964261,Dimitroffstrasse,bus,"52.52644944679887, 13.447574773361476","A9,A57",,Dimitroffstrasse Ecke Landsberger Allee
1964262,Dimitroffstrasse,strassenbahn,"52.5264303512303, 13.447596791543624","69E,72,64,74E,63,71,69",,Dimitroffstrasse Ecke Landsberger Allee
1964263,Dimitroffstrasse,strassenbahn,"52.53617065447549, 13.433035147691381","69E,72,64,74E,63,71,69",,Dimitroffstrasse Ecke Greifswalder Strasse
1964264,Dimitroffstrasse,strassenbahn,"52.53918901477695, 13.42424530247013","69E,72,64,74E,63,71,69",,Dimitroffstrasse Ecke Prenzlauer Strasse
1964265,Dimitroffstrasse Ecke Leninallee,bus,"52.52644398829154, 13.447645022319072",A54,,
1964266,Dominicusstrasse Ecke Hauptstrasse,bus,"52.48180071652041, 13.348377997983935","A84,A75",,
1964267,Dominikus-Krankenhaus,bus,"52.626196524368744, 13.294495665499268",A15,,Dominikus-Krankenhaus
1964268,Donnersmarckplatz,bus,"52.62982465046043, 13.28047497184123","A12,A15",,Donnersmarckplatz
1964269,"Doppel-Süd, Berlepschstrasse",bus,"52.42115284920077, 13.226688767210124",A66,,
1964270,Dorfaue,strassenbahn,"52.478869891771325, 13.700379205739726","S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",,
1964271,Drakestrasse,bus,"52.445733691746746, 13.293722374035292",A48,,Drakestrasse Ecke Unter den Eichen
1964272,Drakestrasse Ecke Ringstrasse,bus,"52.43979507204022, 13.300191166543234",A85,,
1964273,Dreilindenstrasse,bus,"52.42046329010259, 13.183323568986776",A53,,
1964274,Drontheimer Strasse Ecke Osloer Strasse,bus,"52.55646891407764, 13.377008238722954",A89,,
1964275,Dudenstrasse,bus,"52.485078406979376, 13.376567552300232",A28,,Dudenstrasse Ecke Katzbachstrasse
1964276,Dyotzer Strasse,bus,"52.541513574478394, 13.168806761501132",A63,,Dyotzer Strasse Ecke Seegefelder Strasse
1964277,Dönhoffplatz,strassenbahn,"52.509950568117645, 13.398144081918815",64,,
1964278,Düppel-Kleinmachnow,s-bahn,"52.421388888889,13.226666666667",KBS 100f,Q44763529,Berlin-Düppel railway station
1964279,Ebersstrasse Ecke Dominicusstrasse,bus,"52.48014768414275, 13.352146382023703","A65, A73",,
1964280,Eberswalderstrasse Ecke Oderberger Strasse,strassenbahn,"52.54061076763243, 13.404559930731686",4,nan+ nan,nan+ nan
1964281,Ebertystrasse Ecke Leninallee,bus,"52.52722237261361, 13.450799684654514",O30,,Ebertystrasse Ecke Leninallee
1964282,Edisonstrasse,strassenbahn,"52.4619496,13.5139049","85,95",Q65951882,
1964283,Efeuweg,bus,"52.42961975739112, 13.47788675809725",A52,,Efeuweg Ecke Neuköllner Strasse
1964284,Egelingzeile,bus,"52.46361812486443, 13.369990724217713",A74,,
1964285,Egelpfuhlstrasse,bus,"52.53353984351533, 13.169416926784528","A31,A80",,Egelpfuhlstrasse Ecke Brunsbüttler Damm
1964286,Ehrenmal,bus,"52.57958419912971, 13.375974716701414","A45,A55,A58",,Ehrenmal
1964287,Eichborndamm Ecke Alt-Wittenau,bus,"52.591828552976516, 13.32639160518794",A12,,
1964288,Eichbornstr.,s-bahn,"52.5776,13.3169",KBS 100c,Q800500,Eichborndamm station
1964289,Eichbuschallee,bus,"52.47574296676633, 13.487312571777435",A47,,Eichbuschallee Ecke Neue Krugallee
1964290,Eichbuschplatz,bus,"52.39366126137233, 13.582046308470128",A38,,Eichbuschplatz
1964291,Eichendamm,strassenbahn,"52.45567448233044, 13.730971293129528",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,
1964292,Eichkamp,bus,"52.48991827349885, 13.259541279740162",A69,,
1964293,Eichkamp,s-bahn,"52.4987,13.2702",KBS 100g,Q800504,Berlin Messe Süd railway station
1964294,Eichkampstrasse Ecke Alte Allee,bus,"52.491857630544814, 13.26346312119853",A88,,
1964295,Eichwalde,s-bahn,"52.3715,13.6152",KBS 103,Q19274479,Eichwalde station
1964296,Elisabethstrasse,bus,"52.53409533705918, 13.55949915809485",O37,,Elisabethstrasse Ecke Oberfeldstrasse
1964297,Elsenstrasse,strassenbahn,"52.48802829044681, 13.452728713947648",95,,
1964298,Elsheimer Strasse Ecke Berlepschstrasse,bus,"52.42566701496254, 13.243889889353003",A66,,
1964299,Elsterplatz,bus,"52.47977982878401, 13.285507613099716","A10,A50",,Elsterplatz
1964300,Elsässer Strasse,bus,"52.63337294510061, 13.345103420124245",A7,,
1964301,Emmentaler Strasse,bus,"52.5675354709663, 13.351240165364471","A12,A12S,A71",,Emmentaler Strasse Ecke Aroser Allee
1964302,Emmentaler Strasse,bus,"52.570420696850896, 13.360956869321077","A12,A12S,A71",,Emmentaler Strasse Ecke Residenzstraße
1964303,Emser Platz,bus,"52.492072890007414, 13.319251387534207",A50,,Emser Platz
1964304,Englerallee,bus,"52.46177802552459, 13.304473295414123",A16,,Englerallee
1964305,Erdener Strasse,bus,"52.490558314289494, 13.276360031005654",A19,,Erdener Strasse Ecke Königsallee
1964306,Erkner,s-bahn,"52.4296,13.7513",KBS 102,Q14434071,Erkner railway station
1964307,Erkstrasse,bus,"52.48167227551806, 13.440052048368255",A67,,Erkstrasse Ecke Sonnenallee
1964308,Erkstrasse Ecke Sonnenallee,strassenbahn,"52.48169987618706, 13.440143697235596",95,,
1964309,Ernst-Reuter-Platz,bus,"52.511591823135106, 13.322571528312595","A90,A86",,
1964310,Ernst-Reuter-Platz,u-bahn,"52.511944444444,13.322222222222",A I,Q658361,Ernst-Reuter-Platz metro station
1964311,Exerzierstrasse Ecke Badstrasse,bus,"52.55379746935533, 13.377146592521141",A61,,
1964312,Exerzierstrasse Ecke Schulstrasse,bus,"52.55394744930925, 13.371515849478492",A79,,
1964313,Eythstrasse,bus,"52.45972284347706, 13.366428299506616",A74,,
1964314,Fahlenbergstrasse Ecke Fürstenwalder Allee,bus,"52.431470149043314, 13.718708856639706",A22,,Fahlenbergstrasse Ecke Fürstenwalder Allee
1964315,Falkenberger Chaussee,bus,"52.565816857333125, 13.511913714753",A39,,Falkenberger Chaussee Ecke Falkenberger Chaussee
1964316,Falkenbergerstrasse Ecke Wartenberger Strasse,strassenbahn,"52.55036672097044, 13.509915032138812",63,,Falkenbergerstrasse Ecke Wartenberger Strasse
1964317,Falkenhöhe,bus,"52.400507029940435, 13.538229483128243",A23,,
1964318,Falkenplatz,bus,"52.58490937545724, 13.227619925618022",A20,,Falkenplatz
1964319,Falkensee,s-bahn,"52.559722,13.088889",KBS 103,Q5431918,Falkensee railway station
1964320,Falkenseer Chaussee,bus,"52.54750354783305, 13.184668062763297",A5,,Falkenseer Chaussee Ecke Zeppelinstrasse
1964321,Fasanenstrasse,strassenbahn,"52.45303125634222, 13.744280675634114",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,
1964322,Fehrbelliner Platz,bus,"52.49040638965375, 13.314204217177087","A86,A74",,Fehrbelliner Platz
1964323,Fehrbelliner Platz,u-bahn,"52.490277777778,13.314444444444",A II,Q663245,U-Fehrbelliner Platz
1964324,Feldtmannstrasse,bus,"52.56401588379611, 13.46980857664685",A46,,Feldtmannstrasse Ecke Berliner Allee
1964325,Fennstrasse Ecke Tegeler Strasse,bus,"52.537921114358255, 13.361618236551074",A16,,
1964326,Feuerbachstr.,s-bahn,"52.463611111111,13.332777777778",KBS 100e,Q800501,Berlin Feuerbachstraße station
1964327,Feuerbachstrasse Ecke Bismarckstrasse,bus,"52.464513435475055, 13.338927866545799","A81,A2",,
1964328,"Fichtenau, Stadtgrenze",bus,"52.45479242349705, 13.701499962608066",A22,,"Fichtenau, Stadtgrenze"
1964329,Fichtestrasse Ecke Schopenhauerstrasse,bus,"52.47979924975105, 13.617292306977053",A8,,Fichtestrasse Ecke Schopenhauerstrasse
1964330,Flinsberger Platz,bus,"52.483689942018465, 13.29268111645926",A50,,Flinsberger Platz
1964331,Florastrasse,bus,"52.46147250684306, 13.325119089841486",A84,,
1964332,Flughafen,bus,"52.470965141866394, 13.385641462324475","A24,A19",,Flughafen
1964333,Flughafen,u-bahn,"52.485556, 13.385833",C II,Q557582,Platz der Luftbrücke
1964334,Fontanestrasse,bus,"52.58985938767378, 13.361193570257216",A58,,
1964335,Forckenbeckstrasse,bus,"52.482221394934605, 13.290044081376928",A50,,Forckenbeckstrasse Ecke Hohenzollerndamm
1964336,Frankfurter Allee,s-bahn,"52.514166666667,13.474722222222","KBS 106a,KBS 104,KBS 106",Q111250033,
1964337,Frankfurter Tor,strassenbahn,"52.5153903,13.4540172","4,13",Q65706246,
1964338,Frankfurter Tor,u-bahn,"52.515833333333,13.454166666667",E,Q568627,
1964339,Franz-Körner-Strasse Ecke Britzer Damm,bus,"52.45589548157786, 13.43725717384978",A91,,
1964340,Französische Strasse,bus,"52.51479530644954, 13.389211606710221",A59,,
1964341,Frauenklinik,strassenbahn,"52.463949908172545, 13.427509548910932",15,,Frauenklinik
1964342,Fredersdorf (b Bln),s-bahn,"52.5265,13.7625",KBS 101,Q15197387,Fredersdorf station
1964343,Freibad Grünau,strassenbahn,"52.4086224,13.604455",86,Q66489598,
1964344,Freie Scholle,bus,"52.599851537868666, 13.301736158422598",A20,,Freie Scholle
1964345,Freiheit,strassenbahn,"52.53269778633445, 13.207518439639045","54,53",,
1964346,Friedenau,s-bahn,"52.47,13.341",KBS 100e,Q800471,Berlin-Friedenau station
1964347,Friedenstrasse,bus,"52.417223782342035, 13.138950169993388",A6,,Friedenstrasse Ecke Königstrasse
1964348,Friedhof Rudow,bus,"52.42113122136662, 13.503199151482875",A52,,Friedhof Rudow
1964349,Friedhof Ruhleben,bus,"52.527735865422024, 13.231788317801291","A5,A31",,Friedhof Ruhleben
1964350,Friedrich-Junge-Strasse,bus,"52.49382897072681, 13.471572865851856",82P,,Friedrich-Junge-Strasse Ecke Alt-Stralau
1964351,Friedrich-Wilhelm-Platz,bus,"52.47128806242274, 13.328362126543809","A85,A2,A17",,Friedrich-Wilhelm-Platz
1964352,Friedrichsfelde (Tierpark),u-bahn,"52.506111111111,13.512777777778",E,Q429781,Friedrichsfelde
1964353,Friedrichsfelde Ost,s-bahn,"52.5141,13.5198",KBS 101,Q800473,Berlin-Friedrichsfelde Ost station
1964354,Friedrichshagen,s-bahn,"52.4574,13.6233",KBS 102,Q800474,Berlin-Friedrichshagen station
1964355,"Friedrichshagen, Wasserwerk",strassenbahn,"52.4560563,13.6419956",84,Q66362601,Wasserwerk Friedrichshagen
1964356,Friedrichstr.,s-bahn,"52.52027777777778,13.386944444444444","KBS 100d,KBS 101,KBS 100g,KBS 100c,KBS 100h,KBS 102,KBS 103,KBS 103a,KBS 100e",Q111219456,S-Bahnhof Friedrichstraße
1964357,Friedrichstrasse,bus,"52.51718498081941, 13.388821428784585","A9,A57",,
1964358,Frohnau,s-bahn,"52.6325,13.2902",KBS 100e,Q800472,Berlin-Frohnau station
1964359,"Frohnau, Invalidensiedlung",bus,"52.65584641928224, 13.29035792910375",A15,,
1964360,Fuldastrasse,bus,"52.483802510465225, 13.435884392882318",A67,,Fuldastrasse Ecke Sonnenallee
1964361,Fürstenbrunner Weg,bus,"52.518378845111386, 13.280184750778325",AS1s,,Fürstenbrunner Weg Ecke Spandauer Damm
1964362,Gabelung,bus,"52.59988612656876, 13.25204128545515",A13,,Gabelung
1964363,Galenusstrasse,strassenbahn,"52.5818183,13.4287678",49,Q66195410,
1964364,Gartenfeld,bus,"52.54719055045343, 13.247793329242997",A72,,
1964365,Gartenfeld,s-bahn,"52.54695,13.24882",KBS 100b,Q96080469,Gartenfeld
1964366,Gartenfelderstrasse Ecke Nonnendamm Allee,bus,"52.53935038939542, 13.232299966570043",A99,,
1964367,"Gartenplatz, Feldstrasse",bus,"52.538565896675905, 13.384005277447793",A61,,"Gartenplatz, Feldstrasse"
1964368,Gartenstadtweg,bus,"52.412313913821045, 13.56660267841369",A36,,Gartenstadtweg
1964369,Gartenstrasse,bus,"52.393046080600556, 13.525019920565521",A36,,
1964370,Gartenstrasse Ecke Bernauer Strasse,bus,"52.53347451941179, 13.387474124225042",A12,,
1964371,Gartenstrasse Ecke Grenzstrasse,bus,"52.54185206233087, 13.37811062641435",A90,,
1964372,"Gatow, Kirche",bus,"52.48684680676539, 13.18215147844503","A34,A35",,"Gatow, Kirche"
1964373,Gatower Strasse,bus,"52.489436255649245, 13.180387588417426","A34, A35",,Gatower Strasse Ecke Alt-Gatow
1964374,Gerlindeweg Ecke Friederikestrasse,bus,"52.57564385703113, 13.228964845529648",A20,,
1964375,Germaniapromenade Ecke Hermannstrasse,bus,"52.46089743652378, 13.435062821383825",A91,,
1964376,Germaniastrasse,strassenbahn,"52.46053782557012, 13.418009045149528",15,,Germaniastrasse
1964377,Germersheimer Platz,bus,"52.54433253766927, 13.187336363919895",A99,,Germersheimer Platz
1964378,Gesundbrunnen,s-bahn,"52.548611111111,13.389444444444","KBS 100d,KBS 100,KBS 100a,KBS 100c,KBS 100e",Q111239092,S-Bahnhof Berlin-Gesundbrunnen
1964379,Gesundbrunnen,u-bahn,"52.548611,13.389444",D,Q3761416,U-Bahnhof Gesundbrunnen
1964380,Giebelsee,s-bahn,"52.5291,13.791",KBS 101,Q7178217,Petershagen Nord railway station
1964381,Giesendorferstrasse Ecke Ostpreußendamm,strassenbahn,"52.424004043498876, 13.314394633539294",96,,
1964382,Gleisdreieck,u-bahn,"52.49952,13.37409","A I,A II",Q678372,Gleisdreieck
1964383,"Glienicke, Kirche",bus,"52.63062737184449, 13.312861916755343",A7,,"Glienicke, Kirche"
1964384,Glienicker Brücke,bus,"52.413474089031965, 13.091235881924467",A6,,Glienicker Brücke
1964385,Gneisenaustr.,u-bahn,"52.491388888889,13.395555555556",C I,Q668618,Gneisenaustraße
1964386,Gneisenaustrasse Ecke Zossener Strasse,bus,"52.49150139774128, 13.394363809880979",A24,,
1964387,Goebelplatz,bus,"52.53812718171093, 13.27991414794248",A65,,Goebelplatz
1964388,Goeben-/Pallasstrasse,bus,"52.49428616497335, 13.361054367554111",A48,,Goeben-/Pallasstrasse
1964389,Goerzallee,strassenbahn,"52.421943941201924, 13.298506647186814",96,,Goerzallee
1964390,Goethestrasse,strassenbahn,"52.455545765090996, 13.726377148130858",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,
1964391,Goltzstrasse,bus,"52.38667572084441, 13.407934498494095",AS2s,,Goltzstrasse Ecke Bahnhofstrasse
1964392,Gorkistrasse,bus,"52.59059426195262, 13.292011153010927",A15,,
1964393,Gotenstrasse Ecke Torgauerstrasse,bus,"52.47978046569568, 13.360192355820017",A84,,
1964394,Gottlieb-Dunkel-Strasse Ecke Germaniastrasse,bus,"52.46056887553805, 13.417975404195007",A25,,
1964395,Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg,bus,"52.460486783559624, 13.417983924217406",A73,,
1964396,Gotzkowskybrücke,bus,"52.52381238362036, 13.329729120795239",A25,,Gotzkowskybrücke Ecke Alt-Moabit
1964397,Gotzkowskystrasse,bus,"52.527187214573765, 13.330550930001301",A24,,
1964398,Gradestrasse Ecke Tempelhofer Weg,strassenbahn,"52.452539318651766, 13.433056825223494",47,,
1964399,Grazer Platz,bus,"52.467636991817486, 13.347565807885369","A83,A25",,Grazer Platz
1964400,Greifswalder Str.,s-bahn,"52.539722222222,13.439444444444","KBS 106a,KBS 104,KBS 106",Q439246,Berlin Greifswalder Straße station
1964401,Greifswalder Strasse,bus,"52.53002871375482, 13.62681794411932","A44,A44E",,Greifswalder Strasse Ecke Hönower Strasse
1964402,Greifswalder Strasse,strassenbahn,"52.5364975,13.4334045","4,13",Q65548960,Greifswalder Straße/Danziger Straße
1964403,Greifswalderstrasse Ecke Dimitroffstrasse,bus,"52.5362177572407, 13.433017500945247",O30,,Greifswalderstrasse Ecke Dimitroffstrasse
1964404,Grenadierstrasse,bus,"52.530981925368565, 13.205371761701368",A31,,Grenadierstrasse Ecke Grunewaldstrasse
1964405,Grenzallee,u-bahn,"52.463333333333,13.443888888889",C I,Q571836,Grenzallee
1964406,Grenzstrasse,bus,"52.541822798579034, 13.378147647725354",A12,,Grenzstrasse Ecke Gerichtstrasse
1964407,Gritznerstrasse,bus,"52.46438146098689, 13.316483335491945",A32,,
1964408,Grottkauer Strasse,bus,"52.52796238368814, 13.600805280630896",A49,,Grottkauer Strasse Ecke Am Baltenring
1964409,Groß Ziethen,bus,"52.41404104155547, 13.438879163306126",AZ,,
1964410,Großbeerenstrasse Ecke Lankwitzer Strasse,strassenbahn,"52.437910165337165, 13.380481533598488",15,,
1964411,Große Seestrasse Ecke Klement-Gottwald-Allee,bus,"52.56000045883561, 13.467055661888581",A55,,
1964412,Große-Ziethen Chaussee Ecke Waltersdorfer Chaussee,strassenbahn,"52.40158342647793, 13.513562829889217",47,,
1964413,Großer Stern,bus,"52.514524715463295, 13.349933192922938","A69,A16",,
1964414,Großglienicker Weg,bus,"52.483148805729485, 13.182630557348212","A34,A35",,
1964415,Großgörschenstr.,s-bahn,"52.4922745,13.3678588",KBS 100e,Q21776726,Yorckstraße (Großgörschenstraße) station
1964416,Grunewald,s-bahn,"52.4892,13.2614",KBS 100h,Q457266,Berlin-Grunewald station
1964417,"Grunewald, Fontanestrasse",bus,"52.48728923056679, 13.263800173256355",A17,,
1964418,Grunewaldstrasse,bus,"52.48907804007202, 13.345000249198607",A73,,
